target,1rank,2rank,3rank,4rank,5rank,6rank,7rank,8rank,9rank
859,531,859,61,2281,2495,974,2242,315,2223
2596,2596,2361,2648,1395,1824,2636,1051,2695,1037
254,254,1693,978,1581,1588,2732,1960,963,2158
2549,2549,412,1387,1901,2455,2059,2196,850,673
1483,1044,1893,586,1483,2330,646,1099,1681,2648
748,748,1217,1518,2334,18,538,2587,120,1264
1470,1470,896,1731,1197,5,1778,506,242,1671
1260,1101,1260,2226,233,2571,1871,461,2346,1360
199,199,266,452,2630,1626,810,1799,1238,936
2386,2386,2301,931,2483,1274,2128,548,1174,878
878,878,2307,1274,731,548,121,1943,374,1445
1660,1729,1660,2368,2629,302,530,1018,0,1190
92,92,1111,2698,2064,2121,1318,303,2457,2189
2134,408,2134,2574,1720,801,1558,74,2362,533
1127,1127,1384,1136,593,32,709,2566,2369,2153
1128,1128,82,1473,2366,1368,288,275,1055,2242
1129,1129,1892,108,2279,1543,301,805,2137,561
1130,1130,1546,1533,2442,1368,1776,1659,1627,275
1191,1191,2084,595,814,1931,1905,2692,829,259
68,68,1297,923,1307,1885,103,999,146,1176
230,1042,1208,1633,2274,188,2322,2276,230,2730
111,740,111,808,669,1185,1512,2634,170,1654
1364,1364,865,2688,477,505,723,1820,430,246
214,214,1270,33,1232,726,2672,2056,43,2050
1817,1817,444,103,1362,1832,1297,201,1203,1429
439,439,818,384,856,222,1059,2657,1209,1324
2462,2462,1009,1539,2287,2477,2095,1202,2063,2545
2130,2130,365,699,679,1650,2340,464,1873,1946
2456,289,2456,1345,742,1012,20,2095,2681,1815
2242,1473,2242,2190,2366,2110,2089,1387,2614,312
100,100,2716,625,2314,2677,2638,1090,577,1152
169,169,668,803,1235,1509,1680,2724,2132,321
2594,2594,2540,1826,277,37,2067,1596,2417,366
2027,2027,338,1723,535,1429,909,2578,201,2246
847,847,1504,2086,2635,2226,2672,790,2062,1415
270,163,1010,1321,2411,2493,571,408,1330,2375
73,73,1161,1255,434,1780,119,446,1282,621
561,561,1736,770,1568,2480,1001,2122,1303,132
269,915,1825,96,241,487,690,269,2461,149
2600,730,2600,1036,1522,803,984,2263,1142,404
1471,1838,309,1964,1471,1273,1128,993,2659,2180
297,297,1212,2079,726,1306,1842,2033,1725,222
296,2433,1987,296,793,693,2039,2014,311,2550
1320,1320,1869,1456,570,1249,2328,1909,2553,1597
1917,1917,2055,766,698,1392,683,2214,321,435
32,2369,2153,32,789,1838,1515,624,764,750
295,295,1609,1475,1698,2686,98,1929,15,632
1862,965,2184,1405,1862,849,2532,801,1558,2277
1069,1069,1133,788,332,1640,2339,259,1905,1755
2287,2287,1241,1487,2261,2045,2706,1634,1014,2462
1148,1148,219,258,281,2594,1460,892,725,1327
2475,2475,384,2657,1059,1041,1754,2696,2113,2468
2474,2474,355,1711,2117,2662,2417,2490,1481,2599
2477,2477,864,2462,1972,1786,633,1453,2363,881
2473,2473,1721,1274,714,210,731,34,1430,1506
184,1764,184,1498,2277,2212,1265,946,329,1324
2472,1672,2472,2523,2724,1492,178,647,2167,1569
2476,2476,1409,653,2331,369,1506,1530,49,2067
2696,2696,1353,213,1313,167,2721,1809,1996,1041
2490,2490,1481,2474,1226,2715,594,517,985,303
218,218,2238,315,1516,1604,974,2495,121,374
1026,2058,1026,2372,876,2365,2375,1777,2610,1609
1768,1768,154,2084,2518,595,598,998,358,1248
1877,1877,2713,2608,467,1547,621,446,1806,1382
636,636,93,1935,243,1250,118,36,688,557
370,370,217,471,708,513,1210,885,547,279
914,163,1010,1321,2411,2493,571,408,1330,2375
6,6,980,966,2358,2036,2243,511,1285,1766
913,913,1637,1968,1059,222,2119,2657,1200,2442
1205,1205,2124,1352,2644,736,2364,1985,298,1681
1805,1134,1805,1112,1880,2132,310,961,623,1951
1994,1994,493,158,1235,752,724,2495,543,2711
1200,1200,2357,2625,106,1055,913,31,85,1720
1959,1959,1126,1529,677,2205,1971,1854,115,2092
2697,1600,2697,1941,1254,1668,1790,1333,800,510
1772,1772,841,1587,2382,397,1408,498,99,274
1604,1604,218,1212,1725,160,1842,2033,1968,2119
2203,2203,2624,2277,2564,1251,2471,2212,2580,2097
2206,79,2206,465,985,303,2101,37,277,1004
