target,1rank,2rank,3rank,4rank,5rank
1144,1144,76,1044,1893,586
1274,1274,2378,714,548,878
1052,1052,2053,2699,719,1360
2110,1473,2242,2190,2366,2110
2361,2596,2361,2648,1395,1824
161,161,2570,1664,390,1839
1747,1747,467,608,799,1093
860,860,2604,161,427,1178
2478,2478,478,1957,2523,2501
1710,1710,1888,71,987,2503
1601,1045,701,1601,2381,849
1504,1504,2672,847,687,727
1492,1492,178,1561,1569,884
736,736,2560,1205,1297,1659
876,876,2372,1026,1388,1116
1030,2136,1030,1388,1777,876
578,2258,578,2707,1028,1948
2376,2376,968,881,763,2313
840,840,2387,113,2410,2100
696,696,1150,278,238,1696
2294,2294,957,2432,1239,1552
698,698,1392,403,762,54
1186,250,1186,1464,2292,2540
1187,1187,774,19,2116,1810
567,567,205,1336,1081,229
1022,1022,77,210,2002,747
1303,454,1303,2621,561,2455
2152,2152,192,1717,2459,2319
2146,2146,1020,1186,1117,1571
2148,2148,2636,2655,1120,1197
2147,2147,1109,2698,771,1111
697,697,629,478,2294,1552
1592,1592,2548,619,1507,1193
226,226,467,613,1132,1806
1464,250,1186,1464,2292,2540
1453,1453,2363,11,1803,922
1132,1132,1843,2630,452,226
2705,2195,2705,592,1940,991
1996,1996,1809,213,2721,1353
1112,1134,1805,1112,1880,2132
194,194,480,927,1215,2265
2070,2070,60,1275,1528,400
856,856,2299,239,248,2391
210,210,714,527,1093,1311
2318,2318,1618,1135,1393,1032
2609,2609,1023,495,191,1894
2279,2279,781,815,644,2231
1628,1628,21,1403,557,916
1081,1081,635,1393,1705,2279
2589,2687,1975,200,2589,14
318,318,2402,828,2586,2051
1064,1064,2377,461,1125,2511
1158,2426,1158,401,2496,580
195,1305,195,1138,300,1056
2365,2365,2058,1026,1417,1388
2364,2364,1352,481,779,215
2366,1473,2242,2190,2366,2110
261,261,2595,105,1184,1938
782,782,1430,714,1311,2437
986,986,853,1783,1157,1769
2114,2114,235,976,458,2700
1856,1856,1440,163,1411,2254
1840,1840,2075,900,1222,1485
1958,1958,2513,2583,2010,467
997,997,2709,722,315,543
2381,1045,701,1601,2381,849
187,187,2418,2184,965,1405
2383,2072,2383,372,1921,2076
2382,2382,1293,16,1772,1366
713,713,2514,1766,2432,1351
1815,2681,1815,1010,1576,941
1937,1937,1851,2435,599,1373
276,276,259,174,249,2601
334,2412,879,334,984,775
2300,2300,2453,2466,1738,1311
1816,1816,2062,2180,1548,982
1773,1773,912,2231,2658,1189
2319,2319,2459,1222,1641,975
1771,2399,1887,1002,1771,628
968,968,2376,1707,2186,2070
2509,2509,1135,1087,2463,818
2155,2155,1450,2598,791,1424
550,1342,2207,489,1480,1648
2265,2265,194,560,480,1215
756,163,1010,1321,2411,2493
1851,1851,1273,871,1937,780
1883,571,388,1230,1883,2554
2216,2216,135,1322,1150,1737
1288,1121,1288,342,1448,1947
70,70,938,2159,171,2510
2218,2218,1035,590,1515,283
943,943,1413,2321,2430,827
1921,1921,1920,2503,19,2072
2230,137,2230,39,2247,602
1244,1244,1236,617,236,2632
2442,1533,2442,1368,275,2002
1916,1916,2641,913,1637,1050
648,163,1010,1321,2411,2493
28,2083,28,2354,1902,1614
1232,1232,1497,726,214,1778
1292,1292,475,1607,1207,177
613,613,552,2213,10,226
2307,2307,878,1938,1843,1708
1811,1811,72,378,995,2303
572,572,2723,1312,425,1816
1207,1207,917,2671,1292,1927
614,614,2117,2662,1711,30
2465,2465,1637,913,2504,2362
615,615,536,840,518,195
2710,2710,1142,1546,2115,1083
2320,2320,2601,106,2357,1200
1930,836,2699,1930,1091,719
1869,1869,1597,1320,1808,1456
2717,2717,131,205,1298,229
2703,298,1821,2703,1328,165
673,1836,673,2366,2190,612
