user_id,gender,nation,brand,fragrance,user_rating
LauraBella,W,USA,Gucci,Bamboo EAU DE PARFUMZ,5.8
H4nn4h,W,Belgium,Kyse Perfumes / Perfumes by Terri,Gâteau de Carnavale,7.2
H4nn4h,W,Belgium,Kyse Perfumes / Perfumes by Terri,Fichi e Panna,8.0
Shams4life,M,Saudi Arabia,Lalique,Lalique Le Parfum EAU DE PARFUMZ,8.7
Shams4life,M,Saudi Arabia,Kenzo,Kenzo pour Homme EAU DE TOILETTEZ,9.0
Emreeryilmaz,M,Turkey,Victoria's Secret,Bombshell EAU DE PARFUMZ,5.7
Emreeryilmaz,M,Turkey,Chloé,"Love, Chloé",7.5
Emreeryilmaz,M,Turkey,Giorgio Armani,Sì EAU DE PARFUMZ,7.5
Emreeryilmaz,M,Turkey,Carolina Herrera,212 VIP Men EAU DE TOILETTEZ,7.8
Emreeryilmaz,M,Turkey,Orto Parisi,Megamare,9.5
Emreeryilmaz,M,Turkey,Carolina Herrera,212 Men EAU DE TOILETTEZ,7.5
Emreeryilmaz,M,Turkey,Versace,Bright Crystal,5.7
Emreeryilmaz,M,Turkey,Dior,Dior Addict (2002) (Eau de Parfum),6.7
Emreeryilmaz,M,Turkey,Paco Rabanne,Invictus EAU DE TOILETTEZ,5.7
Emreeryilmaz,M,Turkey,Guerlain,Aqua Allegoria Pera Granita,5.8
Emreeryilmaz,M,Turkey,Tom Ford,Noir EAU DE PARFUMZ,5.5
Emreeryilmaz,M,Turkey,Parfums de Marly,Delina Exclusif,5.2
Emreeryilmaz,M,Turkey,Costume National,Homme,9.0
Emreeryilmaz,M,Turkey,Abdul Samad Al Qurashi / عبدالصمد القرشي,Safari,8.8
Emreeryilmaz,M,Turkey,Initio,Side Effect,9.0
Emreeryilmaz,M,Turkey,Tom Ford,Black Orchid EAU DE PARFUMZ,9.0
Emreeryilmaz,M,Turkey,Kilian,Back to Black Aphrodisiac PERFUMEZ,6.5
Emreeryilmaz,M,Turkey,Memo Paris,Cuirs Nomades - Italian Leather EAU DE PARFUMZ,6.2
Emreeryilmaz,M,Turkey,Franck Boclet,Cocaïne,8.3
Emreeryilmaz,M,Turkey,Tom Ford,Tobacco Oud,7.7
Emreeryilmaz,M,Turkey,Montale,Vanilla Extasy,7.2
Emreeryilmaz,M,Turkey,Vertus,Narcos'is,9.0
Emreeryilmaz,M,Turkey,Ex Nihilo,Fleur Narcotique EAU DE PARFUMZ,7.5
Emreeryilmaz,M,Turkey,Widian / AJ Arabia,Black Collection - II,8.2
Emreeryilmaz,M,Turkey,Kilian,Good Girl Gone Bad PERFUMEZ,8.0
Emreeryilmaz,M,Turkey,Kilian,Rolling in Love,6.5
Emreeryilmaz,M,Turkey,Nasomatto,Black Afgano EXTRAIT DE PARFUMZ,8.8
Emreeryilmaz,M,Turkey,Calvin Klein,Euphoria EAU DE PARFUMZ,7.7
Emreeryilmaz,M,Turkey,Amouage,Interlude Man,6.3
Emreeryilmaz,M,Turkey,Hermès,Elixir des Merveilles,7.0
Emreeryilmaz,M,Turkey,Jean Paul Gaultier,Scandal,9.3
Emreeryilmaz,M,Turkey,Trussardi,My Land EAU DE TOILETTEZ,6.5
